Date,ABB.ST,ASSA-B.ST,ATCO-A.ST,ERIC-B.ST,HEXA-B.ST,INVE-B.ST,SAND.ST,SEB-A.ST,SHB-A.ST,VOLV-B.ST
2020-03-12,152.49411010742188,159.91578674316406,64.18714141845703,49.454071044921875,55.560516357421875,89.26370239257812,103.80773162841797,45.872703552246094,43.30009460449219,76.96599578857422
2020-03-13,152.3998260498047,159.60142517089844,66.701171875,52.73046112060547,58.54228973388672,91.18287658691406,105.97212219238281,45.9940185546875,43.69744873046875,77.29267883300781
2020-03-16,146.88633728027344,161.48756408691406,66.97296905517578,51.1895866394043,58.58489227294922,86.76431274414062,102.72552490234375,42.54311752319336,41.202972412109375,73.4378433227539
2020-03-17,151.83438110351562,167.28067016601562,67.2900390625,55.19587326049805,61.708656311035156,87.03211212158203,102.14280700683594,45.346981048583984,44.05064392089844,70.23636627197266
2020-03-18,148.30003356933594,159.87086486816406,65.86316680908203,56.85028839111328,59.16704559326172,87.34452819824219,102.51741790771484,43.47324752807617,42.328800201416016,63.676612854003906
2020-03-19,156.31117248535156,161.1732177734375,65.99903869628906,60.87278747558594,56.59703826904297,91.98624420166016,103.68285369873047,44.443817138671875,45.18750762939453,67.16558074951172
2020-03-20,159.32708740234375,155.380126953125,62.53375244140625,60.20777893066406,53.771446228027344,89.73234558105469,101.8514404296875,43.688926696777344,43.874046325683594,66.47953796386719
2020-03-23,147.59317016601562,143.12037658691406,60.404762268066406,57.22333526611328,50.33529281616211,85.51463317871094,96.19071960449219,41.842159271240234,41.65550994873047,65.1662826538086
2020-03-24,161.4477081298828,150.39540100097656,67.0862045288086,61.65133285522461,55.87289047241211,93.70457458496094,106.6380844116211,43.60804748535156,43.222835540771484,71.51042175292969
2020-03-25,169.64735412597656,157.58059692382812,72.68048858642578,62.20280456542969,57.86074447631836,97.18585205078125,111.8825912475586,46.91066360473633,47.1632194519043,75.65927124023438
2020-03-26,178.78945922851562,163.59820556640625,73.56380462646484,61.310733795166016,60.629539489746094,98.52481079101562,121.58073425292969,46.61410903930664,47.494346618652344,76.96599578857422
2020-03-27,170.40135192871094,155.29034423828125,71.32156372070312,59.818511962890625,57.93173599243164,97.20817565917969,115.7535171508789,44.51121520996094,45.772499084472656,74.09119415283203
